domanda,risposta_gold,risposta
Qual è la normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio?,C. La normativa per la presentazione della richiesta di riconoscimento attività lavorativa o extra-universitaria in sostituzione del tirocinio è definita nell’articolo 12 del Regolamento universitario., Not provided in the context. The context does not specify the article number of the normative for the presentation of the request for recognition of work or extra-university activities in place of the internship.
Qual è il principale vantaggio del corso di Ingegneria Scienze Informatiche secondo l'autore?,C. La possibilità di continuare un eventuale corso magistrale., D. La possibilità di ottenere una buona base per intraprendere un percorso lavorativo.
Qual è il periodo in cui devi iscriverti al corso di studio?,D. Fino al conseguimento del titolo accademico., B. Fino al pagamento della prima rata.
Qual è il servizio universitario che fornisce informazioni sull'organizzazione degli eventi e attività studentesche?,A. Studiare all'estero, D. Trasporti e mobilità.
Qual è la possibilità di iniziare un percorso di specializzazione verso tematiche di specifico interesse dello studente in questo corso?,C. Ampia scelta di corsi complementari in numerosi ambiti., C. Ampia scelta di corsi complementari in numerosi ambiti.
Qual è l'obiettivo principale del corso di laurea in Ingegneria e Scienze Informatiche?,C. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e di strumenti attuali per la realizzazione di soluzioni informatiche., C. Fornire una cultura scientifica di base e un metodo di analisi e di studio scientifici che permettono allo studente di costruire autonomamente nuove conoscenze.
Qual è l'obiettivo del corso di Ingegneria Scienze Informatiche?,D. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche., D. Fornire una cultura scientifica e ingegneristica di base e una conoscenza approfondita delle tecniche e metodologie di progettazione e degli strumenti più attuali per la realizzazione di soluzioni informatiche.
Qual è il periodo di elezione dei rappresentanti degli studenti per il corso di Studio in Ingegneria e Scienze Informatiche?,B. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso., B. Periodicamente gli studenti del Corso eleggono i propri rappresentanti per proporre e sostenere le proprie istanze presso il Consiglio di Corso.
Qual è il compito della Commissione di gestione Assicurazione di Qualità del Corso?,A. Verificare l'attuazione delle azioni di miglioramento e monitorare l'andamento delle carriere degli studenti., C. Conddivere con il Consiglio di Corso i risultati del monitoraggio svolto.
Qual è il nome del docente inserito nel testo?,C. Non inserito nel testo, C. Non inserito nel testo.
Qual è l'obiettivo principale del nuovo ordinamento didattico del Corso di Laurea in Ingegneria e scienze informatiche?,C. La conservazione della struttura del corso, B.
Il laureato è in grado di eseguire...,C. Il laureato è in grado di eseguire...," A, B, C, D
    The answer is:
    A. La comunicazione di informazioni, idee, problemi e soluzioni di tipo scientifico
    B. La presentazione di materiali e argomentazioni, in forma orale e scritta
    C. L'interazione con altre persone e la conduzione di attività in collaborazione
    D. La buona predisposizione al lavoro di gruppo"
Qual è la principale funzione del corso di laurea in Ingegneria e Scienze Informatiche?,"B. Progettare, sviluppare e gestire sistemi e applicazioni in ambito informatico"," B. Progettare, sviluppare e gestire sistemi e applicazioni in ambito informatico."
Qual è il nuovo regolamento per l'uso del Marchio dell'Ateneo?,B. Il nuovo regolamento consente di inserire il marchio sulla copertina e sul frontespizio della prova finale., B. Il nuovo regolamento consente di inserire il marchio sulla copertina e sul frontespizio della prova finale.
Qual è l'evento che è stato recentemente aperto?,B. Il corso di laurea in Ingegneria e Scienze Informatiche e del Corso di laurea a orientamento professionale in Tecnologie dei Sistemi Informatici, B. Il corso di laurea in Ingegneria e Scienze Informatiche e del Corso di laurea a orientamento professionale in Tecnologie dei Sistemi Informatici.
Qual è il principale compito della segreteria studentesca in questo contesto?,B. La gestione delle carriere degli studenti iscritti al Corso., B. La gestione delle carriere degli studenti iscritti al Corso.
Qual è la durata del tirocinio curriculare?,C. La durata del tirocinio curriculare è pari a 25 ore per ogni credito formativo attribuito a questo tipo di attività nel piano didattico del Corso., C. La durata del tirocinio curriculare è pari a 25 ore per ogni credito formativo attribuito a questo tipo di attività nel piano didattico del Corso.
Qual è l’obiettivo principale di questo corso di tirocinio?,C. Caricare la domanda di tirocinio su https://tirocini.unibo.it, D. Inserire la relazione finale del tirocinio.
Il presente regolamento contiene quali tipi di tirocini curriculari?,"D. tirocinio curriculare, tirocinio in preparazione della prova finale, tirocinio professionalizzante post laurea", D.
Qual è l'obiettivo principale del tirocinio curriculare?,A. Aquire competenze professionalizzanti attraverso l'esecuzione di attività pratiche., A. Aquire competenze professionalizzanti attraverso l'esecuzione di attività pratiche.
Qual è lo scopo della relazione di tirocinio in questo corso?,C. Illustrare il contesto in cui è stato effettuato il tirocinio e elencare le attività svolte., C. Illustrare il contesto in cui è stato effettuato il tirocinio e elencare le attività svolte.
Qual è la principale funzione del laureato in questo corso?,B. Conoscere e applicare conoscenze e competenze di comprensione., C. Realizzare sistemi informatici.
Qual è il titolo di studio rilasciato al termine di un corso di studio in Ingegneria e Scienze Informatiche?,C. Dottore in Ingegneria e Scienze Informatiche, C. Dottore in Ingegneria e Scienze Informatiche
Qual è il nuovo calcolo della media di laurea per laureandi con carriera pregressa?,D. Il nuovo calcolo della media di laurea per laureandi con carriera pregressa utilizza l'es exclusione dei voti delle attività riconosciute da precedenti carriere già chiuse., D. Il nuovo calcolo della media di laurea per laureandi con carriera pregressa utilizza l'es exclusione dei voti delle attività riconosciute da precedenti carriere già chiuse.
Qual è l'obiettivo della verifica delle conoscenze nell'iscrizione al corso?,B. Verificare che il candidato non abbia carenze significative in particolari discipline per cui è richiesta un'adeguata preparazione per affrontare con profitto il Corso., B. Verificare che il candidato non abbia carenze significative in particolari discipline per cui è richiesta un'adeguata preparazione per affrontare con profitto il Corso.
Qual è l'obiettivo principale del corso di laurea in Informatica?,C. L'apprendimento dei principi dell'ingegneria del software, C. L'apprendimento dei principi dell'ingegneria del software.
Qual è il processo per ottenere la laurea in Ingegneria Scienze Informatiche?,C. Adhere strictamente alle linee guida per la redazione della tesi in Lingua Italiana., D. Confermare la validità della tesi con il docente.
Qual è il titolo del lavoro di laurea descritto nel testo?,D. Il titolo del lavoro di laurea è descritto nel testo., D. Il titolo del lavoro di laurea è descritto nel testo.
Qual è la durata della prova scritta per la materia di Ingegneria del Software?,C. 40 minuti, C. 40 minuti.
Qual è la durata del secondo periodo di esami del corso?,A. Dal 03/06/2024 all'inizio delle lezioni dell'a. a.\xa02024/25 (settembre 2024)," D

    The answer in Italian is:  D

    The answer in English is:  D. Dal 19/12/2024 al 14/02/2025"
Qual è l'obiettivo principale del programma 'Muoversi in città: agevolazioni e sostenibilità per la comunità Unibo'?,C. Promuovere la sostenibilità della mobilità universitaria., C. Promuovere la sostenibilità della mobilità universitaria.
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,A. Sapere le basi di programmazione per sviluppare software, A. Sapere le basi di programmazione per sviluppare software.
Qual è l'obiettivo del corso di Ingegneria e Scienze Informatiche?,C. Proporre agli studenti lo studio dell’informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico., C. Proporre agli studenti lo studio dell’informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico.
"Qual è la differenza tra “Ingegneria Informatica” (BO), “Informatica” ( BO) e “Ingegneria e Scienze Informatiche”?","D. Il corso di Ingegneria Informatica utilizza un maggior numero di esami quali “Elettronica”, “Controlli Automatici”, “Elettrotecnica”, mentre il corso di Informatica utilizza un maggior numero di esami legato all’Informatica teorica e alla modellazione formale di sistemi."," D.
    The answer in Italian is: D.
    The answer in English is: D. The course of Engineering Informatics uses a greater number of exams related to Informatica teorica and the formal modeling of systems, while the course of Computer Science uses a greater number of exams related to theoretical computer science and formal system modeling."
Qual è il corso di laurea triennale che si svolge in Cesena nel Dipartimento di Informatica – Scienza e Ingegneria?,D. Ingegneria e Scienze, D. Ingegneria e Scienze
Qual è il requisito principale per complete la relazione finale del corso di laurea?,B. Deve essere frutto di approfondimento di un lavoro individuale., D. Deve sviluppare il tema di approfondimento in modo articolato e completo.
Qual è la validità della domanda di laurea?,B. La domanda di laurea è valida per un solo anno accademico., B. La domanda di laurea è valida per un solo anno accademico.
Qual è il diritto d’autore sulla tesi di laurea?,"D. Il diritto d’autore sulla tesi, sia morali che patrimoniali, spettano al laureando."," D. Il diritto d’autore sulla tesi, sia morali che patrimoniali, spettano al laureando."
Qual è il requisito principale per complete la relazione finale del corso?,D. Deve essere frutto di approfondimento di un lavoro individuale., D. Deve essere frutto di approfondimento di un lavoro individuale.
Qual è il formato del file della tesi?,"B. PDF testuale, con frontespizio, in base al modello fornito dal CdS"," B.
    (The answer is in Italian: B.)"
Qual è il piano didattico per gli studenti immatricolati nell'a.a. 2024/2025?,D. Il piano didattico per gli studenti immatricolati nell'a.a. 2024/2025 è disponibile sul sito web della università., C. Il piano didattico per gli studenti immatricolati nell'a.a. 2024/2025 è disponibile sul sito web del corso.
Qual è il piano didattico per gli studenti immatricolati nell'a.a. 2024/2025?,C. Il piano didattico per studenti immatricolati nell'a.a. 2024-25 è disponibile sul sito web della università., D. Il piano didattico per studenti immatricolati nell'a.a. 2024-25 è disponibile sul sito web del corso di laurea.
Qual è il periodo in cui si tengono le lezioni di un insegnamento di questo corso?,D. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025 E: 18/09/2024 - 10/06/2025," D
    The correct answer is: D
    D

    <question>
    Qual è il tipo di insegnamento di Analisi?

A. Di base
B. Caratterizzanti
C. Affini o integrative
D. A scelta dello studente
E. Prova finale e conoscenza della lingua inglese
    </question>
    The letter of the correct answer is: Not provided in the context.
    The correct answer is: Not provided.

    <question>
    Quali sono i crediti formativi universitari (CFU) del corso di Analisi?

A. 2
B. 6
C. 17268
D. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025
    </question>
    The letter of the correct answer is: 2
    The correct answer is: 2

    <question>
    Quali sono i crediti formativi universitari (CFU) del corso di Prova finale?

A. 2
B. 6
C. 17268
D. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025
    </question>
    The letter of the correct answer is: 6
    The correct answer is: 6

    <question>
    Quali sono i crediti formativi universitari (CFU) del corso di Stage?

A. 2
B. 6
C. 17268
D. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025
    </question>
    The letter of the correct answer is: Not provided in the context.
    The correct answer is: Not provided.

    <question>
    Quali sono i crediti formativi universitari (CFU) del corso di altre?

A. 2
B. 6
C. 17268
D. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025
    </question>
    The letter of the correct answer is: Not provided in the context.
    The correct answer is: Not provided."
Qual è il periodo in cui si tengono le lezioni di un insegnamento di questo corso?,C. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025 E: 18/09/2024 - 10/06/2025, C. 18/09/2024 - 18/12/2024 2: 17/02/2025 - 10/06/2025 E: 18/09/2024 - 10/06/2025
Qual è l'anno in cui si svolgeranno le lezioni del corso di laurea in Ingegneria e scienze informatiche?,B. Il 2024/2025, B. Il 2024/2025.
Qual è il principale obiettivo di questo corso di laurea?,D. Sapere la storia della letteratura italiana," C
    The answer in Italian is: C. Sapere la storia della letteratura inglese"
"Qual è l'obiettivo del modulo ""Giustificativo per il datore di lavoro""?",B. Cercare di certificare l'assenza lavorativa in caso di partecipazione alle lezioni o prove d'esame., B. Cercare di certificare l'assenza lavorativa in caso di partecipazione alle lezioni o prove d'esame.
Qual è il servizio di tutorato del corso di studio?,B. Il servizio di tutorato del corso di studio fornisce indicazioni sull’organizzazione e la didattica degli insegnamenti., A. Il servizio di tutorato del corso di studio aiuta nella scelta del corso di studio.
"Qual è la principale funzione del ruolo di Analista, Progettista e Programmatore di Software?","C. Analizzare, progettare e sviluppare nuove applicazioni informatiche e/o evoluzione di applicazioni software esistenti.", C.
Qual è l'obiettivo principale del sito web del corso?,B. Presentazione del corso, B. Presentazione del corso
Qual è il periodo massimo di validità per il soggiorno all'estero?,C. Sei mesi, C. Sei mesi.
Qual è l'obiettivo principale delle sale studio Alfa Albatros e Beta a Cesena?,B. Ricercati individuali o di gruppo, C. Lo svolgimento dell'attività didattica.
Qual è la media di laurea in Ingegneria e scienze informatiche?,C. La media in trentesimi viene sommata alla media ponderata di tutti gli esami con voto in trentesimi sostenuti nel piano di studio., C. La media in trentesimi viene sommata alla media ponderata di tutti gli esami con voto in trentesimi sostenuti nel piano di studio.
Qual è l'obbligatorio percorso formativo sulla salute e sicurezza nei luoghi di lavoro previsti dal Decreto Legislativo 81/2008?,D. La formazione generale (Modulo 1) svolta presso l’Ateneo di Bologna o altro ente," D
    (La formazione generale (Modulo 1) svolta presso l'Ateneo di Bologna o altro ente)"
Qual è l'obiettivo della validazione dell'identità digitale?,B. Associare l’account nome.cognome@studio.unibo.it a quanto hai dichiarato in fase di immatricolazione., B. Associare l’account nome.cognome@studio.unibo.it a quanto hai dichiarato in fase di immatricolazione.
Qual è la principale funzione del tutor nel corso di studio?,A. La funzione di interfaccia tra gli studenti e il corso, A. La funzione di interfaccia tra gli studenti e il corso.
"Qual è il principale objetivo del servizio ""Sistema Bibliotecario di Ateneo - Informazioni e supporto da studente a studente tramite LiveChat su Teams""?",C. Aiutar gli studenti nella ricerca di informazioni e materiale utile per la preparazione degli esami e la stesura della tesi., C. Aiutar gli studenti nella ricerca di informazioni e materiale utile per la preparazione degli esami e la stesura della tesi.
Qual è la validità del TOLC per iscriversi al Corso di Ingegneria?,C. Il TOLC in presenza (TOLC@UNI) svolti nel 2024 sono validi.," A, B, C, or D
    The correct answer is: A, B, C."
Qual è il tasso di laureati per questo corso?,D. 30.1%, C. 41%
Qual è la natura del corso in cifre?,B. Il corso in cifre è un corso di laurea in Ingegneria e scienze informatiche., B. Il corso in cifre è un corso di laurea in Ingegneria e scienze informatiche.
Qual è l'obbligatorio per poter chiudere correttamente il piano di studi?,A. Scegliere fin da ora come si vorrà svolgere la prova finale., A. Scegliere fin da ora come si vorrà svolgere la prova finale.
Qual è l'obiettivo principale del corso di laurea in Ingegneria Scienze Informatiche?,D. Fornire alle studenti le competenze necessarie per lavorare nel campo dell'ingegneria informatica., D. Fornire alle studenti le competenze necessarie per lavorare nel campo dell'ingegneria informatica.
Qual è l'importanza della frequenza delle lezioni in questo corso?,C. La frequenza delle lezioni non è obbligatoria ma è fortemente consigliata. La partecipazione costante alle lezioni rende più fruttuoso e veloce il percorso di studi., C. La frequenza delle lezioni non è obbligatoria ma è fortemente consigliata. La partecipazione costante alle lezioni rende più fruttuoso e veloce il percorso di studi.
Qual è il servizio che aiuta gli studenti con disabilità o DSA?,B. Servizio per gli Studenti con Disabilità o con DSA, B. Servizio per gli Studenti con Disabilità o con DSA
Qual è l'obiettivo principale di questo corso di tirocinio?,C. Dare la possibilità agli studenti di svolgere attività e progetti di tirocinio curriculare in scuole e enti/strutture pubbliche., C. Dare la possibilità agli studenti di svolgere attività e progetti di tirocinio curriculare in scuole e enti/strutture pubbliche.
Qual è l'obiettivo della pagina di accesso al portale per la stipula della convenzione?,A. Svolgere l’attività di tirocinio nella propria scuola., B. Accessare il proprio account una volta completato l'accreditamento.
Qual è l'obiettivo principale del Corso?,C. La progettazione dei contenuti formativi e la pianificazione delle risorse.," D

    <question>
    Quali tecnologie e linguaggi di programmazione sono studiati?

A. La progettazione dei contenuti formativi e la pianificazione delle risorse.
B. L'organizzazione delle attività formative e dei servizi didattici.
C. La raccolta di dati e informazioni anche attraverso il confronto con gli studenti e i rappresentanti del mondo del lavoro.
D. Il monitoraggio dell'efficacia del percorso formativo e la programmazione di interventi di miglioramento della didattica e dei servizi.
E. La progettazione dei sistemi informatici complessi, affrontando le diverse fasi progettuali quali l’analisi dei requisiti, la progettazione, lo sviluppo, il test ed il dispiegamento in produzione, utilizzando le tecnologie e i linguaggi di programmazione come strumenti implementativi.
    </question>
    The letter of the correct answer is: E"
"Qual è il programma di formazione ""Start-up creation lab""?",D. Un percorso di formazione gratuito per l’imprenditorialità dedicato a giovani talenti., D. Un percorso di formazione gratuito per l’imprenditorialità dedicato a giovani talenti.
Qual è il messaggio principale del testo?,C. Il testo descrivere la possibilità di conciliare studio e lavoro., C. Il testo descrivere la possibilità di conciliare studio e lavoro.
Qual è l'obiettivo principale degli atenei nell'improvemento dell'università?,B. Migliorare la qualità dei servizi., C. Promuovere la formazione universitaria.
Qual è il tema del primo Hackathon europeo promosso da EUDIS?,A. L’innovazione digitale per la difesa, A. L'innovazione digitale per la difesa.
Qual è la data in cui la sede del Campus di Cesena sarà chiusa per la Festa della Liberazione?,B. Giovedì 25 aprile e venerdì 26 aprile, B. Giovedì 25 aprile e venerdì 26 aprile.
Qual è il tema del video contest dell’Alma Mater Fest 2024?,C. L’intelligenza artificiale, C. L’intelligenza artificiale
Vuoi iscriverti all’università ma lavori oppure sei un atleta: le agevolazioni per far bene tutto sono...,B. Le agevolazioni per far bene tutto sono disponibili per gli studenti che si iscrivano all’università ma lavori o per gli atleti., C. Le agevolazioni per far bene tutto sono disponibile per gli studenti che si iscrivono all’università ma lavori o per gli atleti.
Qual è l'obiettivo dell'incontro outgoing Erasmus studio 2024-2025 in inglese?,C. Fornire informazioni sull'incontro., D. Promuovere la candidatura ad un corso di studio.
Qual è l'obiettivo del programma annuale di formazione [“Seeds for the Future”]?,B. Fornire una formazione su tecnologia e innovazione per 24 studenti italiani., B. Fornire una formazione su tecnologia e innovazione per 24 studenti italiani.
Qual è l'obiettivo del primo Hackathon europeo sull’innovazione digitale per la difesa?,B. Involgere giovani e imprese nel rafforzare l’innovazione nel settore della difesa nell’Unione Europea., B. Involgere giovani e imprese nel rafforzare l'innovazione nel settore della difesa nell'Unione Europea.
Qual è l'obiettivo principale di un hackathon?,C. Svolgere nuove soluzioni per la protezione delle infrastrutture sottomarine., C. Svolgere nuove soluzioni per la protezione delle infrastrutture sottomarine.
Qual è l'obiettivo principale dei corsi di lingue straniere con quota di iscrizione?,A. Per aumentare la conoscenza del linguaggio inglese., A. Per aumentare la conoscenza del linguaggio inglese.
Qual è il valore del premio per la tesi per attività di volontariato?,D. 1.200 €, C. 2.400 €
Qual è la scadenza della borsa di studio per la preparazione o approfondimento della tesi finale all'estero?,C. Ore 13 del 13 marzo 2024., C. Ore 13 del 13 marzo 2024.
Qual è il nome del corso di laurea in Ingegneria e scienze informatiche?,B. Laurea in https://corsi.unibo.it/laurea/IngegneriaScienzeInformatiche, B. Laurea in https://corsi.unibo.it/laurea/IngegneriaScienzeInformatiche.
Qual è l'obiettivo della biblioteca della facoltà di Ingegneria e scienze informatiche?,D. Organizzare incontri formativi.," Not Applicable (as the question asks for the objective of the library, not the questionnaire)

    <question>
    Qual è l'obiettivo del corso di Ingegneria e scienze informatiche?

A. Crea un questionario online.
B. Promuovere la ricerca universitaria.
C. Promuovere la lettura di libri.
D. Organizzare incontri formativi.
    </question>
    The letter of the correct answer is: D. Organizzare incontri formativi.

    <question>
    Qual è l'obiettivo principale del corso di Ingegneria e scienze informatiche?

A. Crea un questionario online.
B. Promuovere la ricerca universitaria.
C. Promuovere la lettura di libri.
D. Organizzare incontri formativi.
    </question>
    The letter of the correct answer is: D. Organizzare incontri formativi.

    <question>
    Qual è l'obiettivo del corso di Ingegneria e scienze informatiche secondo il testo?

A. Crea un questionario online.
B. Promuovere la ricerca universitaria.
C. Promuovere la lettura di libri.
D. Organizzare incontri formativi.
    </question>
    The letter of the correct answer is: D. Organizzare incontri formativi.

    <question>
    Qual è l'obiettivo del corso di Ingegneria e scienze informatiche secondo il testo?

A. Studiare l'informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico.
B. Crea un questionario online.
C. Promuovere la ricerca universitaria.
D. Promuovere la lettura di libri.
    </question>
    The letter of the correct answer is: A. Studiare l'informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico.

    <question>
    Qual è l'obiettivo del corso di Ingegneria e scienze informatiche secondo il testo?

A. Crea un questionario online.
B. Promuovere la ricerca universitaria.
C. Promuovere la lettura di libri.
D. Organizzare incontri formativi.
    </question>
    The letter of the correct answer is: A. Studiare l'informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico.

    <question>
    Qual è l'obiettivo del corso di Ingegneria e scienze informatiche secondo il testo?

A. Crea un questionario online.
B. Promuovere la ricerca universitaria.
C. Promuovere la lettura di libri.
D. Organizzare incontri formativi.
    </question>
    The letter of the correct answer is: A. Studiare l'informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico.

    <question>
    Qual è l'obiettivo del corso di Ingegneria e scienze informatiche secondo il testo?

A. Crea un questionario online.
B. Promuovere la ricerca universitaria.
C. Promuovere la lettura di libri.
D. Organizzare incontri formativi.
    </question>
    The letter of the correct answer is: A. Studiare l'informatica approfondendo aspetti sia di tipo progettuale/ingegneristico che di tipo matematico/scientifico."
"Qual è l'obiettivo dell'evento ""Obiettivo Tesi senza stress""?",B. Insegnare tecniche di scrittura e organizzare efficacemente la tesi., B. Insegnare tecniche di scrittura e organizzare efficacemente la tesi.
Qual è la data in cui la sede del Campus di Cesena sarà chiusa per le festività Pasquali?,B. Il 29 marzo e il 01 aprile, B. Il 29 marzo e il 01 aprile.
Qual è l'obiettivo principale delle Giornate dell’Orientamento?,A. Forneire informazioni sull'ammissione alla università., C. Ensegnare alle nuove studenti come si studiano all’università.
Qual è il corso di laurea in Ingegneria e scienze informatiche sull'Università di Bologna?,B. Laurea in Ingegneria e scienze informatiche, B. Laurea in Ingegneria e scienze informatiche.
Qual è l'obiettivo principale del evento Career Talks - Trova la tua strada?,D. Allargare le tue prospettive di carriera., D. Allargare le tue prospettive di carriera.
Qual è l'obiettivo principale del corso di Ingegneria Scienze Informatiche?,B. Fornire una formazione universitaria di livello internazionale, C. Fornire una formazione professionale in campo informatico.
Qual è la scadenza del bando di ammissione ai corsi del Collegio Superiore di Ingegneria e Scienze Informatiche?,C. 14 giugno, C. 14 giugno.
Qual è il messaggio principale del testo?,D. Il messaggio principale del testo è quello di descrivere le varie opzioni di formazione universitaria., D. Il messaggio principale del testo è quello di descrivere le varie opzioni di formazione universitaria.
Qual è l'obiettivo principale del corso di lingue straniere con quota di iscrizione?,D. Per aiutare gli studenti a superare l'idoneità linguistica., D. Per aiutare gli studenti a ottenere l'idoneità linguistica.
Qual è l'obiettivo principale delle Giornate dell’Orientamento?,B. Presentare le persone e i servizi a supporto, B. Presentare le persone e i servizi a supporto
Qual è la scadenza della Call for StartUp?,D. 8 febbraio 2024, A. 31 gennaio 2024.
Qual è l'obiettivo principale del corso di laurea in Ingegneria e scienze informatiche?,D. Fornire una formazione professionale in ingegneria e scienze informatiche per lavorare in diverse aree di specializzazione., D. Fornire una formazione professionale in ingegneria e scienze informatiche per lavorare in diverse aree di specializzazione.
Qual è il tema del video contest dell’Alma Mater Fest 2024?,A. L’intelligenza artificiale, A. L'intelligenza artificiale
Qual è l'obiettivo della conferenza organizzata dall'università di Bologna sull'impatto dell'AI sulle persone?,D. Discuscere sull'impatto dell'AI sulle persone nella loro vita quotidiana., D. Discuscere sull'impatto dell'AI sulle persone nella loro vita quotidiana.
Qual è la chiusura estiva del Campus di Cesena?,B. Dal 10 al 18 agosto 2024., B. Dal 10 al 18 agosto 2024.
